LATITUDE,LONGITUDE,ALTITUDE
28.737144999999998,-13.69778,9448
28.7385175,-13.6979525,9480
28.73989,-13.698125000000001,9516
28.7411775,-13.6982975,9552
28.742465,-13.69847,9588
28.7437525,-13.69847,9624
28.74504,-13.69847,9660
28.746412499999998,-13.69847,9696
28.747785,-13.69847,9732
28.749157500000003,-13.698640000000001,9768
28.75053,-13.69881,9800
28.751905,-13.698979999999999,9836
28.75328,-13.69915,9868
28.754655,-13.69915,9904
28.75603,-13.69915,9936
28.7573175,-13.69915,9972
28.758605,-13.69915,10000
28.7598925,-13.6993225,10036
28.76118,-13.699494999999999,10068
28.762552499999998,-13.6996675,10096
28.763925,-13.69984,10132
28.765297500000003,-13.69984,10164
28.76667,-13.69984,10192
28.7680425,-13.69984,10224
28.769415000000002,-13.69984,10256
28.7707875,-13.7000125,10288
28.77216,-13.700185000000001,10320
28.773535,-13.7003575,10352
28.77491,-13.70053,10380
28.776285,-13.70053,10416
28.77766,-13.70053,10444
28.7790325,-13.70053,10476
28.780405000000002,-13.70053,10508
28.7817775,-13.700700000000001,10540
28.78315,-13.70087,10568
28.7845225,-13.701039999999999,10600
28.785895,-13.70121,10632
28.7872675,-13.70121,10664
28.78864,-13.70121,10696
28.790015,-13.70121,10728
28.79139,-13.70121,10760
28.792765,-13.7013825,10792
28.79414,-13.701554999999999,10824
28.7955125,-13.7017275,10856
28.796885,-13.7019,10892
28.7982575,-13.7019,10924
28.79963,-13.7019,10956
28.8010025,-13.7019,10992
28.802374999999998,-13.7019,11024
28.8037475,-13.7020725,11060
28.80512,-13.702245000000001,11096
28.80658,-13.702417500000001,11128
28.80804,-13.70259,11164
28.8095,-13.70259,11200
28.81096,-13.70259,11236
28.8123325,-13.70259,11268
28.813705,-13.70259,11308
28.8150775,-13.702760000000001,11344
28.81645,-13.70293,11380
28.817825,-13.7031,11416
28.819200000000002,-13.70327,11452
28.820575,-13.70327,11488
28.82195,-13.70327,11528
28.823407500000002,-13.70327,11564
28.824865000000003,-13.70327,11600
28.8263225,-13.7034425,11636
28.82778,-13.703615,11676
28.8291525,-13.7037875,11712
28.830525,-13.70396,11752
28.8318975,-13.70396,11788
28.83327,-13.70396,11824
28.834645,-13.70396,11864
28.836019999999998,-13.70396,11900
28.837395,-13.7041325,11936
28.83877,-13.704305000000002,11968
28.8402275,-13.704477500000001,12000
28.841685,-13.70465,12032
28.8431425,-13.70465,12060
28.8446,-13.70465,12092
28.845975,-13.70465,12116
28.84735,-13.70465,12144
28.848725,-13.704820000000002,12172
28.8501,-13.70499,12200
28.851557500000002,-13.70516,12224
28.853015,-13.70533,12252
28.8544725,-13.70533,12276
28.85593,-13.70533,12300
28.857390000000002,-13.70533,12324
28.85885,-13.70533,12348
28.86031,-13.7055025,12372
28.86177,-13.705675,12396
28.86323,-13.7058475,12420
28.86469,-13.70602,12440
28.866149999999998,-13.70602,12464
28.86761,-13.70602,12484
28.8690675,-13.70602,12508
28.870525,-13.70602,12532
28.871982499999998,-13.7061925,12560
28.87344,-13.706365,12584
28.8749,-13.7065375,12612
28.87636,-13.70671,12640
28.87782,-13.70671,12672
28.87928,-13.70671,12700
28.880740000000003,-13.70671,12732
28.8822,-13.70671,12764
28.88366,-13.70688,12800
28.88512,-13.707049999999999,12832
28.8865775,-13.70722,12868
28.888035000000002,-13.70739,12904
28.8894925,-13.70739,12940
28.89095,-13.70739,12976
28.892409999999998,-13.70739,13016
28.89387,-13.70739,13052
28.89533,-13.7075625,13088
28.89679,-13.707735,13128
28.898162499999998,-13.707907500000001,13168
28.899535,-13.70808,13208
28.900907500000002,-13.70808,13248
28.90228,-13.70808,13284
28.90374,-13.70808,13324
28.9052,-13.70808,13364
28.906660000000002,-13.7082525,13404
28.90812,-13.708425,13444
28.90958,-13.7085975,13484
28.91104,-13.70877,13524
28.9125,-13.70877,13564
28.91396,-13.70877,13604
28.9154175,-13.70877,13640
28.916874999999997,-13.70877,13680
28.918332499999998,-13.70894,13724
28.91979,-13.709109999999999,13760
28.92125,-13.70928,13800
28.922710000000002,-13.70945,13840
28.92417,-13.70945,13880
28.92563,-13.70945,13920
28.9270025,-13.70945,13960
28.928375000000003,-13.70945,14000
28.9297475,-13.7096225,14036
28.93112,-13.709795,14080
28.93258,-13.709967500000001,14116
28.93404,-13.71014,14156
28.935499999999998,-13.71014,14196
28.93696,-13.71014,14228
28.9384175,-13.71014,14264
28.939875,-13.71014,14304
